Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-24,35.16922241485962,34.84338239819446,35.49506243152478
2024-12-25,35.19903488585992,34.71370327629357,35.684366495426275
2024-12-26,35.21979751121132,34.61090998734895,35.82868503507369
2024-12-27,35.271013436762196,34.55872065652113,35.98330621700326
2024-12-28,35.301099534570604,34.49840547888916,36.103793590252046
2024-12-29,35.30883982011273,34.42489661207049,36.19278302815497
2024-12-30,35.33658625513873,34.37824769637007,36.294924813907386
2024-12-31,35.36396172192791,34.336598783475495,36.39132466038032
2025-01-01,35.40135951016622,34.30932584655618,36.49339317377627
2025-01-02,35.43441203545265,34.28132890737636,36.58749516352894
2025-01-03,35.45923402398075,34.24817500778822,36.67029304017328
2025-01-04,35.47349008281432,34.20710657214612,36.73987359348253
2025-01-05,35.48275940943333,34.163369226413764,36.80214959245289
2025-01-06,35.485622254664804,34.11527422775537,36.85597028157424
2025-01-07,35.47215988370167,34.05268217170202,36.891637595701326
2025-01-08,35.52801859508172,34.06105566612912,36.994981524034316
2025-01-09,35.55153629225357,34.038577768370544,37.0644948161366
2025-01-10,35.559195812084596,34.00159934474719,37.116792279422
2025-01-11,35.58722082504309,33.98623050179488,37.1882111482913
2025-01-12,35.60941431743835,33.96617566307116,37.25265297180554
2025-01-13,35.65097639717196,33.96654873910009,37.33540405524383
