Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-24,36.497761353354676,36.12341186148312,36.87211084522623
2024-12-25,36.52166309479008,35.99969116682242,37.043635022757734
2024-12-26,36.51230565471426,35.880297152012446,37.144314157416076
2024-12-27,36.53437245378544,35.81150208169325,37.257242825877626
2024-12-28,36.542630922874864,35.74086555344992,37.344396292299805
2024-12-29,36.555987077941204,35.683771955473404,37.428202200409004
2024-12-30,36.56810086498888,35.631454281072294,37.50474744890546
2024-12-31,36.59190682612422,35.595676845529255,37.58813680671919
2025-01-01,36.6273963620954,35.57560280666518,37.679189917525626
2025-01-02,36.65060341025249,35.54623910318965,37.754967717315324
2025-01-03,36.70459454875708,35.55028736040953,37.85890173710463
2025-01-04,36.77142457341782,35.56945961526916,37.973389531566475
2025-01-05,36.68655146830071,35.438869393359184,37.93423354324224
