Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-24,36.53235089289759,36.142926026241874,36.921775759553306
2024-12-25,36.551385697557066,35.969831210846344,37.13294018426779
2024-12-26,36.556040504193234,35.827700883165676,37.28438012522079
2024-12-27,36.610977201472764,35.76029098126595,37.461663421679575
2024-12-28,36.66796429814879,35.71036360160428,37.6255649946933
2024-12-29,36.66147986736401,35.60774667332155,37.715213061406466
2024-12-30,36.685535687454276,35.54373372586655,37.827337649042
2024-12-31,36.72034467794675,35.496796416961416,37.94389293893208
2025-01-01,36.753737211922655,35.45357219895627,38.053902224889036
2025-01-02,36.77932805433355,35.406816564955406,38.15183954371169
2025-01-03,36.80655408845139,35.365323184629524,38.24778499227326
2025-01-04,36.812136817246234,35.30531723676561,38.31895639772686
2025-01-05,36.827644238338166,35.25797421627599,38.39731426040034
2025-01-06,36.825820920216195,35.19572193297354,38.45591990745885
2025-01-07,36.78694510931865,35.09857860933714,38.475311609300164
2025-01-08,36.85763332175818,35.1129441894741,38.60232245404226
2025-01-09,36.87512690128736,35.07587736374102,38.6743764388337
2025-01-10,36.875012529658804,35.022809077440044,38.72721598187756
2025-01-11,36.888890960494656,34.985206018477825,38.79257590251149
2025-01-12,36.91480691990423,34.96099651750793,38.86861732230053
2025-01-13,36.976489158605084,34.97380750178528,38.97917081542489
