Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-24,35.136913738219384,34.82403492418029,35.44979255225848
2024-12-25,35.14587485536849,34.70369373228645,35.58805597845053
2024-12-26,35.15169489500085,34.61002423651071,35.69336555349099
2024-12-27,35.16899655538496,34.54315117556993,35.79484193519998
2024-12-28,35.19106994540277,34.49077481793821,35.89136507286732
2024-12-29,35.2014659147673,34.4337221137862,35.96920971574839
2024-12-30,35.208561639561026,34.378466203432154,36.0386570756899
2024-12-31,35.21423819630387,34.32600414260426,36.10247225000347
2025-01-01,35.250474613583755,34.30764828879757,36.19330093836994
2025-01-02,35.281646772252955,34.286918001996305,36.276375542509605
2025-01-03,35.309221083029456,34.26498610236268,36.353456063696235
2025-01-04,35.35424658605176,34.26260879258784,36.445884379515675
2025-01-05,35.26908297603799,34.13185255621599,36.406313395859996
2025-01-06,35.28207848495157,34.100789946139834,36.463367023763304
2025-01-07,35.30090732865394,34.07708757865041,36.52472707865747
2025-01-08,35.32306305883954,34.05804207413942,36.58808404353965
2025-01-09,35.33161401947696,34.02651324152178,36.636714797432134
2025-01-10,35.35778676043367,34.013660299998705,36.70191322086863
2025-01-11,35.35894689164158,33.976775377113384,36.741118406169775
2025-01-12,35.374310835067575,33.955029720037146,36.793591950098005
2025-01-13,35.39061627450231,33.93497979720715,36.846252751797465
