Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-31,36.54519157772027,36.07211837820914,37.018264777231394
2025-01-31,36.57435618902709,35.86929461851606,37.27941775953813
2025-02-28,36.58218994472466,35.70011042366646,37.46426946578286
2025-03-31,36.65148092423482,35.621849800448615,37.68111204802102
2025-04-30,36.72713970422819,35.56852831320351,37.88575109525288
2025-05-31,36.72488728478385,35.45027188590622,37.999502683661476
2025-06-30,36.7564147442998,35.37550491000427,38.13732457859534
2025-07-31,36.798936555048776,35.31934876246224,38.27852434763531
2025-08-31,36.83023151566062,35.25814749248411,38.40231553883713
2025-09-30,36.85659912009531,35.19716658855171,38.51603165163891
2025-10-31,36.892270443170425,35.14986277584669,38.63467811049416
2025-11-30,36.90023628427416,35.07862912800162,38.72184344054669
2025-12-31,36.923502595424765,35.025998765533586,38.82100642531594
