Tarih,Tahmin,Alt Güven Aralığı,Üst Güven Aralığı
2024-12-31,35.18100570929991,34.78641708741396,35.57559433118586
2025-01-31,35.224363044885834,34.6385388321657,35.81018725760597
2025-02-28,35.26018376842245,34.52763757887755,35.99272995796735
2025-03-31,35.3251740110454,34.47011766139225,36.180230360698545
2025-04-30,35.35856288082467,34.39637388493634,36.320751876713004
2025-05-31,35.371717913507254,34.313168216961095,36.43026761005341
2025-06-30,35.406293864533126,34.259448977549646,36.553138751516606
2025-07-31,35.43602258435114,34.20721015667562,36.664835012026664
2025-08-31,35.4739859410087,34.16834167219493,36.77963020982247
2025-09-30,35.5203064679591,34.142106930860834,36.89850600505737
2025-10-31,35.55100567885685,34.10388406085207,36.99812729686164
2025-11-30,35.57026145337645,34.0573543208742,37.08316858587871
2025-12-31,35.58638594377699,34.01043702136871,37.16233486618527
